region,YEAR.x,STATE_CODE.x,DD,T_YEAR,YEAR.y,STATE_CODE.y,race,MEM_,OSS_,pct_
alabama,2022,AL,0,2023,1972,AL,AI,370,5,1.35135138034821
alabama,2022,AL,0,2023,1972,AL,AS,390,0,
alabama,2022,AL,0,2023,1972,AL,BL,262145,10625,4.0531005859375
alabama,2022,AL,0,2023,1972,AL,HI,400,5,1.25
alabama,2022,AL,0,2023,1972,AL,HP,0,0,
alabama,2022,AL,0,2023,1972,AL,MR,0,0,
alabama,2022,AL,0,2023,1972,AL,WH,504700,9450,1.87239944934845
alabama,2022,AL,0,2023,1972,AL,total,768005,20085,2.61521744728088
alabama,2022,AL,0,2023,1974,AL,AI,615,10,1.62601625919342
alabama,2022,AL,0,2023,1974,AL,AS,485,5,1.03092777729034
alabama,2022,AL,0,2023,1974,AL,BL,256100,10655,4.16048431396484
alabama,2022,AL,0,2023,1974,AL,HI,390,5,1.28205132484436
alabama,2022,AL,0,2023,1974,AL,HP,0,0,
alabama,2022,AL,0,2023,1974,AL,MR,0,0,
alabama,2022,AL,0,2023,1974,AL,WH,500125,9955,1.99050235748291
alabama,2022,AL,0,2023,1974,AL,total,757715,20630,2.72265958786011
alabama,2022,AL,0,2023,1976,AL,AI,1040,20,1.92307686805725
alabama,2022,AL,0,2023,1976,AL,AS,995,10,1.00502514839172
alabama,2022,AL,0,2023,1976,AL,BL,256420,12125,4.72857046127319
alabama,2022,AL,0,2023,1976,AL,HI,415,10,2.40963864326477
alabama,2022,AL,0,2023,1976,AL,HP,0,0,
alabama,2022,AL,0,2023,1976,AL,MR,0,0,
alabama,2022,AL,0,2023,1976,AL,WH,499035,11395,2.28340697288513
alabama,2022,AL,0,2023,1976,AL,total,757910,23565,3.10920810699463
alabama,2022,AL,0,2023,1978,AL,AI,840,15,1.78571426868439
alabama,2022,AL,0,2023,1978,AL,AS,1115,15,1.34529149532318
alabama,2022,AL,0,2023,1978,AL,BL,257990,13015,5.04476928710938
alabama,2022,AL,0,2023,1978,AL,HI,500,15,3
alabama,2022,AL,0,2023,1978,AL,HP,0,0,
alabama,2022,AL,0,2023,1978,AL,MR,0,0,
alabama,2022,AL,0,2023,1978,AL,WH,501480,12590,2.51056861877441
alabama,2022,AL,0,2023,1978,AL,total,761930,25650,3.36645102500916
alabama,2022,AL,0,2023,1980,AL,AI,1230,15,1.21951222419739
alabama,2022,AL,0,2023,1980,AL,AS,1325,5,0.377358496189117
alabama,2022,AL,0,2023,1980,AL,BL,225225,12860,5.70984554290772
alabama,2022,AL,0,2023,1980,AL,HI,490,10,2.04081630706787
alabama,2022,AL,0,2023,1980,AL,HP,0,0,
alabama,2022,AL,0,2023,1980,AL,MR,0,0,
alabama,2022,AL,0,2023,1980,AL,WH,387995,13700,3.53097343444824
alabama,2022,AL,0,2023,1980,AL,total,616265,26585,4.31389093399048
alabama,2022,AL,0,2023,1982,AL,AI,2385,20,0.838574409484863
alabama,2022,AL,0,2023,1982,AL,AS,2105,20,0.950118780136108
alabama,2022,AL,0,2023,1982,AL,BL,251420,14960,5.95020294189453
alabama,2022,AL,0,2023,1982,AL,HI,560,15,2.67857146263123
alabama,2022,AL,0,2023,1982,AL,HP,0,0,
alabama,2022,AL,0,2023,1982,AL,MR,0,0,
alabama,2022,AL,0,2023,1982,AL,WH,464210,14890,3.20760011672974
alabama,2022,AL,0,2023,1982,AL,total,720680,29905,4.1495532989502
alabama,2022,AL,0,2023,1984,AL,AI,2370,25,1.05485236644745
alabama,2022,AL,0,2023,1984,AL,AS,1725,10,0.579710125923157
alabama,2022,AL,0,2023,1984,AL,BL,171710,9925,5.78009414672852
alabama,2022,AL,0,2023,1984,AL,HI,505,10,1.98019802570343
alabama,2022,AL,0,2023,1984,AL,HP,0,0,
alabama,2022,AL,0,2023,1984,AL,MR,0,0,
alabama,2022,AL,0,2023,1984,AL,WH,233895,8995,3.84574270248413
alabama,2022,AL,0,2023,1984,AL,total,410200,18970,4.62457323074341
alabama,2022,AL,0,2023,1986,AL,AI,2665,30,1.12570357322693
alabama,2022,AL,0,2023,1986,AL,AS,2250,50,2.22222232818604
alabama,2022,AL,0,2023,1986,AL,BL,167370,13005,7.77020978927612
alabama,2022,AL,0,2023,1986,AL,HI,635,15,2.36220479011536
alabama,2022,AL,0,2023,1986,AL,HP,0,0,
alabama,2022,AL,0,2023,1986,AL,MR,0,0,
